D000710	Anaplasmataceae	B03.440.664.750,B03.660.050.783.500	942
D000722	Ancylostoma	B01.050.500.500.294.400.968.100.100	29169
D000723	Ancylostomatoidea	B01.050.500.500.294.400.968.100	2572558
D000801	Angiostrongylus	B01.050.500.500.294.400.968.588.080	6312
D000811	Anguilla	B01.050.150.900.493.338.282	7935
D000845	Annelida	B01.050.500.091	6340
D000852	Anopheles	B01.050.500.131.617.720.500.500.750.712.500.875.120	7164
D000854	Anoplura	B01.050.500.131.617.690.060	30005
D000882	Haplorhini	B01.050.150.900.649.313.988.400	376913
D001000	Ants	B01.050.500.131.617.720.500.500.875.205	36668
D001001	Anura	B01.050.150.900.090.180	8342
D001029	Aotus trivirgatus	B01.050.150.900.649.313.988.400.600.037.092	9505
D001042	Aphids	B01.050.500.131.617.412.165	27482
D001048	Aplysia	B01.050.500.644.400.060	6499
D001097	Arachnida	B01.050.500.131.166	6854
D001105	Archaea	B02	2157
D001114	Areca	B01.875.800.575.912.250.093.088	115440
D001116	Arenaviridae	B04.820.480.500	11617
D001135	Armadillos	B01.050.150.900.649.313.999.200	9359
D001156	Artemia	B01.050.500.131.365.060.050	6660
D001173	Arthrobacter	B03.510.024.850.050,B03.510.460.400.400.049.074	1663
D001181	Arthropods	B01.050.500.131	6656
D001188	Artiodactyla	B01.050.150.900.649.313.500	91561
D001197	Ascaridia	B01.050.500.500.294.400.500.090	46684
D001199	Ascaridoidea	B01.050.500.500.294.400.500.100	33256
D001200	Ascaris	B01.050.500.500.294.400.500.100.108	6251
D001203	Ascomycota	B01.300.107	4890
D001230	Aspergillus	B01.300.381.081	5052
D001231	Aspergillus flavus	B01.300.381.081.170	5059
D001232	Aspergillus fumigatus	B01.300.381.081.295	746128
D001233	Aspergillus nidulans	B01.300.381.081.420	162425
D001234	Aspergillus niger	B01.300.381.081.450	5061
D001235	Aspergillus ochraceus	B01.300.381.081.480	40380
D001236	Aspergillus oryzae	B01.300.381.081.500	5062
D001257	Mamastrovirus	B04.820.578.250.500	249588
D001350	Encephalomyelitis Virus, Avian	B04.820.578.750.227	70796
D001351	Infectious bronchitis virus	B04.820.578.500.540.150.400.750	11120
D001352	Herpesvirus 1, Gallid	B04.280.382.100.374.450	10386
